heating_base_temp_c,hlc_w_per_k,heat_pump_cop,pv_area_m2,annual_pv_kwh_el,annual_heating_kwh_th,annual_heating_kwh_el,direct_overlap_kwh_el,direct_pv_coverage_ratio,annual_deficit_kwh_el,annual_surplus_kwh_el,deficit_hour_fraction,surplus_hour_fraction,symmetric_mismatch_index
18.00000000,160.00000000,4.00000000,30.00000000,7466.13180000,11493.56800000,2873.39200000,958.00700000,0.33340630,1915.38500000,6508.12480000,0.42294521,0.44223744,0.81469031
18.00000000,160.00000000,4.00000000,40.00000000,9954.84240000,11493.56800000,2873.39200000,997.14480000,0.34702707,1876.24720000,8957.69760000,0.41061644,0.45445205,0.84453904
20.00000000,80.00000000,2.50000000,20.00000000,4977.42120000,6710.90400000,2684.36160000,872.21000000,0.32492269,1812.15160000,4105.21120000,0.47614155,0.42077626,0.77232192
20.00000000,80.00000000,2.50000000,30.00000000,7466.13180000,6710.90400000,2684.36160000,933.33680000,0.34769414,1751.02480000,6532.79500000,0.45239726,0.44463470,0.81610021
20.00000000,80.00000000,2.50000000,40.00000000,9954.84240000,6710.90400000,2684.36160000,966.52320000,0.36005701,1717.83840000,8988.31920000,0.44086758,0.45616438,0.84705948
20.00000000,80.00000000,3.00000000,20.00000000,4977.42120000,6710.90400000,2236.96800000,752.24453333,0.33627863,1484.72346667,4225.17666667,0.46358447,0.43344749,0.79145995
20.00000000,80.00000000,3.00000000,30.00000000,7466.13180000,6710.90400000,2236.96800000,795.86220000,0.35577719,1441.10580000,6670.26960000,0.44406393,0.45296804,0.83595712
20.00000000,80.00000000,3.00000000,40.00000000,9954.84240000,6710.90400000,2236.96800000,819.12853333,0.36617803,1417.83946667,9135.71386667,0.43230594,0.46472603,0.86562643
20.00000000,80.00000000,4.00000000,20.00000000,4977.42120000,6710.90400000,1677.72600000,588.32200000,0.35066632,1089.40400000,4389.09920000,0.44931507,0.44748858,0.82319790
20.00000000,80.00000000,4.00000000,30.00000000,7466.13180000,6710.90400000,1677.72600000,614.34640000,0.36617803,1063.37960000,6851.78540000,0.43230594,0.46472603,0.86562643
20.00000000,80.00000000,4.00000000,40.00000000,9954.84240000,6710.90400000,1677.72600000,625.81920000,0.37301633,1051.90680000,9329.02320000,0.42579909,0.47123288,0.89240223
20.00000000,120.00000000,2.50000000,20.00000000,4977.42120000,10066.35600000,4026.54240000,1165.30920000,0.28940691,2861.23320000,3812.11200000,0.51541096,0.38150685,0.74115639
20.00000000,120.00000000,2.50000000,30.00000000,7466.13180000,10066.35600000,4026.54240000,1308.31500000,0.32492269,2718.22740000,6157.81680000,0.47614155,0.42089041,0.77232192
20.00000000,120.00000000,2.50000000,40.00000000,9954.84240000,10066.35600000,4026.54240000,1376.85840000,0.34194559,2649.68400000,8577.98400000,0.45810502,0.43869863,0.80304406
20.00000000,120.00000000,3.00000000,20.00000000,4977.42120000,10066.35600000,3355.45200000,1031.28920000,0.30734733,2324.16280000,3946.13200000,0.49760274,0.39942922,0.75247692
20.00000000,120.00000000,3.00000000,30.00000000,7466.13180000,10066.35600000,3355.45200000,1128.36680000,0.33627863,2227.08520000,6337.76500000,0.46358447,0.43344749,0.79145995
20.00000000,120.00000000,3.00000000,40.00000000,9954.84240000,10066.35600000,3355.45200000,1176.64400000,0.35066632,2178.80800000,8778.19840000,0.44931507,0.44760274,0.82319790
20.00000000,120.00000000,4.00000000,20.00000000,4977.42120000,10066.35600000,2516.58900000,828.39600000,0.32917413,1688.19300000,4149.02520000,0.47123288,0.42579909,0.77891783
20.00000000,120.00000000,4.00000000,30.00000000,7466.13180000,10066.35600000,2516.58900000,882.48300000,0.35066632,1634.10600000,6583.64880000,0.44931507,0.44748858,0.82319790
20.00000000,120.00000000,4.00000000,40.00000000,9954.84240000,10066.35600000,2516.58900000,912.18720000,0.36246968,1604.40180000,9042.65520000,0.43698630,0.46004566,0.85371572
20.00000000,160.00000000,2.50000000,20.00000000,4977.42120000,13421.80800000,5368.72320000,1374.59360000,0.25603734,3994.12960000,3602.82760000,0.54531963,0.35171233,0.73427906
20.00000000,160.00000000,2.50000000,30.00000000,7466.13180000,13421.80800000,5368.72320000,1617.59920000,0.30130054,3751.12400000,5848.53260000,0.50319635,0.39383562,0.74793651
20.00000000,160.00000000,2.50000000,40.00000000,9954.84240000,13421.80800000,5368.72320000,1744.42000000,0.32492269,3624.30320000,8210.42240000,0.47614155,0.42077626,0.77232192
20.00000000,160.00000000,3.00000000,20.00000000,4977.42120000,13421.80800000,4473.93600000,1242.98506667,0.27782808,3230.95093333,3734.43613333,0.52716895,0.36986301,0.73697215
20.00000000,160.00000000,3.00000000,30.00000000,7466.13180000,13421.80800000,4473.93600000,1419.14960000,0.31720382,3054.78640000,6046.98220000,0.48595890,0.41107306,0.76228785
20.00000000,160.00000000,3.00000000,40.00000000,9954.84240000,13421.80800000,4473.93600000,1504.48906667,0.33627863,2969.44693333,8450.35333333,0.46358447,0.43344749,0.79145995
20.00000000,160.00000000,4.00000000,20.00000000,4977.42120000,13421.80800000,3355.45200000,1031.28920000,0.30734733,2324.16280000,3946.13200000,0.49748858,0.39942922,0.75247692
20.00000000,160.00000000,4.00000000,30.00000000,7466.13180000,13421.80800000,3355.45200000,1128.36680000,0.33627863,2227.08520000,6337.76500000,0.46358447,0.43344749,0.79145995
20.00000000,160.00000000,4.00000000,40.00000000,9954.84240000,13421.80800000,3355.45200000,1176.64400000,0.35066632,2178.80800000,8778.19840000,0.44931507,0.44748858,0.82319790
