heating_base_temp_c,hlc_w_per_k,heat_pump_cop,pv_area_m2,annual_pv_kwh_el,annual_heating_kwh_th,annual_heating_kwh_el,direct_overlap_kwh_el,direct_pv_coverage_ratio,annual_deficit_kwh_el,annual_surplus_kwh_el,deficit_hour_fraction,surplus_hour_fraction,symmetric_mismatch_index
20.00000000,80.00000000,3.00000000,40.00000000,11464.91341706,7801.59624325,2600.53208108,928.27091516,0.35695423,1672.26116592,10536.64250189,0.52351598,0.47146119,0.86800689
20.00000000,80.00000000,4.00000000,20.00000000,5732.45670853,7801.59624325,1950.39906081,673.61313919,0.34537196,1276.78592162,5058.84356934,0.53595890,0.45901826,0.82464512
20.00000000,80.00000000,4.00000000,30.00000000,8598.68506279,7801.59624325,1950.39906081,696.20318637,0.35695423,1254.19587444,7902.48187642,0.52351598,0.47146119,0.86800689
20.00000000,80.00000000,4.00000000,40.00000000,11464.91341706,7801.59624325,1950.39906081,708.39817902,0.36320679,1242.00088179,10756.51523803,0.51369863,0.48127854,0.89438961
20.00000000,120.00000000,2.50000000,20.00000000,5732.45670853,11702.39436488,4680.95774595,1403.56167007,0.29984498,3277.39607589,4328.89503846,0.60753425,0.38744292,0.73043200
20.00000000,120.00000000,2.50000000,30.00000000,8598.68506279,11702.39436488,4680.95774595,1529.65654988,0.32678282,3151.30119607,7069.02851291,0.56335616,0.43162100,0.76962384
20.00000000,120.00000000,2.50000000,40.00000000,11464.91341706,11702.39436488,4680.95774595,1589.10513667,0.33948291,3091.85260928,9875.80828039,0.54200913,0.45296804,0.80315647
20.00000000,120.00000000,3.00000000,20.00000000,5732.45670853,11702.39436488,3900.79812163,1224.20902565,0.31383552,2676.58909597,4508.24768288,0.58150685,0.41347032,0.74583689
20.00000000,120.00000000,3.00000000,30.00000000,8598.68506279,11702.39436488,3900.79812163,1308.67709402,0.33548957,2592.12102760,7290.00796877,0.54931507,0.44566210,0.79060301
20.00000000,120.00000000,3.00000000,40.00000000,11464.91341706,11702.39436488,3900.79812163,1347.22627838,0.34537196,2553.57184324,10117.68713867,0.53595890,0.45901826,0.82464512
20.00000000,120.00000000,4.00000000,20.00000000,5732.45670853,11702.39436488,2925.59859122,965.80993036,0.33012387,1959.78866086,4766.64677817,0.55913242,0.43584475,0.77689911
20.00000000,120.00000000,4.00000000,30.00000000,8598.68506279,11702.39436488,2925.59859122,1010.41970879,0.34537196,1915.17888243,7588.26535401,0.53595890,0.45901826,0.82464512
20.00000000,120.00000000,4.00000000,40.00000000,11464.91341706,11702.39436488,2925.59859122,1035.21703339,0.35384794,1890.38155783,10429.69638367,0.52694064,0.46803653,0.85612506
20.00000000,160.00000000,2.50000000,20.00000000,5732.45670853,15603.19248650,6241.27699460,1682.76952037,0.26961943,4558.50747423,4049.68718816,0.64600457,0.34897260,0.71892318
20.00000000,160.00000000,2.50000000,30.00000000,8598.68506279,15603.19248650,6241.27699460,1930.55819513,0.30932102,4310.71879947,6668.12686766,0.59006849,0.40490868,0.73981629
20.00000000,160.00000000,2.50000000,40.00000000,11464.91341706,15603.19248650,6241.27699460,2039.54206650,0.32678282,4201.73492810,9425.37135055,0.56335616,0.43162100,0.76962384
20.00000000,160.00000000,3.00000000,20.00000000,5732.45670853,15603.19248650,5201.06416217,1505.79618935,0.28951694,3695.26797281,4226.66051917,0.62351598,0.37146119,0.72455420
20.00000000,160.00000000,3.00000000,30.00000000,8598.68506279,15603.19248650,5201.06416217,1669.41356813,0.32097538,3531.65059404,6929.27149466,0.57054795,0.42442922,0.75805161
20.00000000,160.00000000,3.00000000,40.00000000,11464.91341706,15603.19248650,5201.06416217,1744.90279203,0.33548957,3456.16137014,9720.01062503,0.54931507,0.44566210,0.79060301
20.00000000,160.00000000,4.00000000,20.00000000,5732.45670853,15603.19248650,3900.79812163,1224.20902565,0.31383552,2676.58909597,4508.24768288,0.58150685,0.41347032,0.74583689
20.00000000,160.00000000,4.00000000,30.00000000,8598.68506279,15603.19248650,3900.79812163,1308.67709402,0.33548957,2592.12102760,7290.00796877,0.54931507,0.44566210,0.79060301
20.00000000,160.00000000,4.00000000,40.00000000,11464.91341706,15603.19248650,3900.79812163,1347.22627838,0.34537196,2553.57184324,10117.68713867,0.53595890,0.45901826,0.82464512
